dataset_name,test_f1_mean
llama3.1-8b_zero-shot_bg_train-time-info_v1,0.5874206389347598
llama3.1-8b_zero-shot_bg_train-time-info_v1,0.5874206389347598
llama3.1-8b_zero-shot_bg_train-time-info_v1,0.5874206389347598
llama3.1-8b_zero-shot_bg_train-time-info_v1,0.5874206389347598
llama3.1-8b_zero-shot_bg_train-time-info_v1,0.5874206389347598
llama3.1-8b_few-shot_bg_train-time-info_v1,0.586443907103533
llama3.1-8b_few-shot_bg_train-time-info_v1,0.586443907103533
llama3.1-8b_few-shot_bg_train-time-info_v1,0.586443907103533
llama3.1-8b_few-shot_bg_train-time-info_v1,0.586443907103533
llama3.1-8b_few-shot_bg_train-time-info_v1,0.586443907103533
llama3.1-8b_zero-shot_bg_test-time-info_v1,0.576060770944536
llama3.1-8b_zero-shot_bg_test-time-info_v1,0.576060770944536
llama3.1-8b_zero-shot_bg_test-time-info_v1,0.576060770944536
llama3.1-8b_zero-shot_bg_test-time-info_v1,0.576060770944536
llama3.1-8b_zero-shot_bg_test-time-info_v1,0.576060770944536
qwen2.5-7b_few-shot_bg_train-time-info_v1,0.5463744957226343
qwen2.5-7b_few-shot_bg_train-time-info_v1,0.5463744957226343
qwen2.5-7b_few-shot_bg_train-time-info_v1,0.5463744957226343
qwen2.5-7b_few-shot_bg_train-time-info_v1,0.5463744957226343
qwen2.5-7b_few-shot_bg_train-time-info_v1,0.5463744957226343
llama3.1-8b_few-shot_bg_test-time-info_v1,0.5392026969012758
llama3.1-8b_few-shot_bg_test-time-info_v1,0.5392026969012758
llama3.1-8b_few-shot_bg_test-time-info_v1,0.5392026969012758
llama3.1-8b_few-shot_bg_test-time-info_v1,0.5392026969012758
llama3.1-8b_few-shot_bg_test-time-info_v1,0.5392026969012758
llama3.3-70b_few-shot_bg_test-time-info_v1,0.5373743853000066
llama3.3-70b_few-shot_bg_test-time-info_v1,0.5373743853000066
llama3.3-70b_few-shot_bg_test-time-info_v1,0.5373743853000066
llama3.3-70b_few-shot_bg_test-time-info_v1,0.5373743853000066
llama3.3-70b_few-shot_bg_test-time-info_v1,0.5373743853000066
qwen2.5-7b_few-shot_bg_test-time-info_v1,0.5322643075780752
qwen2.5-7b_few-shot_bg_test-time-info_v1,0.5322643075780752
qwen2.5-7b_few-shot_bg_test-time-info_v1,0.5322643075780752
qwen2.5-7b_few-shot_bg_test-time-info_v1,0.5322643075780752
qwen2.5-7b_few-shot_bg_test-time-info_v1,0.5322643075780752
qwen2.5-32b_few-shot_bg_v1,0.529778063726081
qwen2.5-32b_few-shot_bg_v1,0.529778063726081
qwen2.5-32b_few-shot_bg_v1,0.529778063726081
qwen2.5-32b_few-shot_bg_v1,0.529778063726081
qwen2.5-32b_few-shot_bg_v1,0.529778063726081
qwen2.5-7b_zero-shot_bg_train-time-info_v1,0.527231985461243
qwen2.5-7b_zero-shot_bg_train-time-info_v1,0.527231985461243
qwen2.5-7b_zero-shot_bg_train-time-info_v1,0.527231985461243
qwen2.5-7b_zero-shot_bg_train-time-info_v1,0.527231985461243
qwen2.5-7b_zero-shot_bg_train-time-info_v1,0.527231985461243
llama3.3-70b_few-shot_bg_train-time-info_v1,0.5271798242915346
llama3.3-70b_few-shot_bg_train-time-info_v1,0.5271798242915346
llama3.3-70b_few-shot_bg_train-time-info_v1,0.5271798242915346
llama3.3-70b_few-shot_bg_train-time-info_v1,0.5271798242915346
llama3.3-70b_few-shot_bg_train-time-info_v1,0.5271798242915346
llama3.3-70b_zero-shot_bg_test-time-info_v1,0.5235933186720454
llama3.3-70b_zero-shot_bg_test-time-info_v1,0.5235933186720454
llama3.3-70b_zero-shot_bg_test-time-info_v1,0.5235933186720454
llama3.3-70b_zero-shot_bg_test-time-info_v1,0.5235933186720454
llama3.3-70b_zero-shot_bg_test-time-info_v1,0.5235933186720454
qwen2.5-32b_few-shot_bg_train-time-info_v1,0.5225871124450079
qwen2.5-32b_few-shot_bg_train-time-info_v1,0.5225871124450079
qwen2.5-32b_few-shot_bg_train-time-info_v1,0.5225871124450079
qwen2.5-32b_few-shot_bg_train-time-info_v1,0.5225871124450079
qwen2.5-32b_few-shot_bg_train-time-info_v1,0.5225871124450079
qwen2.5-32b_zero-shot_bg_v1,0.5199273320346325
qwen2.5-32b_zero-shot_bg_v1,0.5199273320346325
qwen2.5-32b_zero-shot_bg_v1,0.5199273320346325
qwen2.5-32b_zero-shot_bg_v1,0.5199273320346325
qwen2.5-32b_zero-shot_bg_v1,0.5199273320346325
llama3.1-8b_few-shot_bg_v1,0.5166349035643699
llama3.1-8b_few-shot_bg_v1,0.5166349035643699
llama3.1-8b_few-shot_bg_v1,0.5166349035643699
llama3.1-8b_few-shot_bg_v1,0.5166349035643699
llama3.1-8b_few-shot_bg_v1,0.5166349035643699
qwen2.5-32b_few-shot_bg_test-time-info_v1,0.5113872516682835
qwen2.5-32b_few-shot_bg_test-time-info_v1,0.5113872516682835
qwen2.5-32b_few-shot_bg_test-time-info_v1,0.5113872516682835
qwen2.5-32b_few-shot_bg_test-time-info_v1,0.5113872516682835
qwen2.5-32b_few-shot_bg_test-time-info_v1,0.5113872516682835
llama3.3-70b_zero-shot_bg_train-time-info_v1,0.5038276561118737
llama3.3-70b_zero-shot_bg_train-time-info_v1,0.5038276561118737
